tweets,target
Rahul Gandhi ji has a clear vision for youth employment he is not interested in kurshi,0
move on. This will make the life of the general public illegal.,0
"Ã‚Â @rkso6371Ã‚Â Lol, he was not doing any kind of caste in last elections.. Then no general voted for him, it's a good strategy to move to OBC, UC is mad in love of modi",1
"Ã‚Â @rkso6371Ã‚Â Rajeev Gandhi opposed OBC reservation and mandal commission for UCs, But what he got in return zero votes of UC.. so it's better for congress to move to OBC,UC don't vote for congress anymore",1
"Ã‚Â @rkso6371Ã‚Â This is India beta, without caste nothing much happens, even Modi goes around calling himself an OBC.",1
Ã‚Â @mayanksrivastavaiiitu6109Ã‚Â sad seems like your fav leader will have to stay unemployed for at least 10-20 years,0
"Ã‚Â @runnerboys9277Ã‚ , pm face is not important, govt is important. There are thousands of educated people who can be prime ministers but government policies should be for the employment generation. Rahul Gandhi ji is the only face who is not interested in kurshi and that is why he is default. The man who is not interested in PM is a banana.",0
"Ã‚Â @mayanksrivastavaiiitu6109Ã‚ , yes and pranab mukharjee never worked ground level and as a result Congress almost vanished in Bengal. Now Adhir Ranjan Chowdhury is doing good to revive.",1
"Ã‚Â @INDIA-yu1rtÃ‚Â acha agr gov. If the policies will not work then who will be accountable and responsible then, if there is any secured face among the INDI alliance? When there is no majority and there is a single PM candidate to decide then what policies will be decided.",1
"Bro, see amethi what did Rahul do there? When you give interview, you are asked about your resume, past performing. When company promotes you, it is based on past performance. What is Rahul performance? Amethi got no development. He can be CM, show his skill and then aim for PM. but he does not have patience because he does not want to improve anything.",0
He seems more like part time politician,1
Ã‚Â @onaction9677Ã‚Â no way mamata is not even considered a PM face in India alliance most probably its going to be Rahul Gandhi or Kejriwal.,1
"Ã‚Â @onaction9677Ã‚Â where were u for 1st 60 years of Independence??
 We had enough of congress
 no more congress and pappus",0
"Ã‚Â @onaction9677Ã‚Â Modi Is still better for next 20 30 years
 Only after that we can consider Congress",1
Uska name to dekho nothing new they want India to make Islamic stae,1
Rahul gandhi has good free time thats why he attend press conferences,1
"Either way, women have to suffer; whether bjp or congress
 
 It's high time we have a strong women centric organization that actually cares about them rather than just using them as pawns for appeasement",1
It was more of necessity because people came forward on security due to delhi govt and central govt ki so they did it as indirect publicity ki dekho humne kia.,1
19:10 that's because of privatization which is a good thing,1
I am a first time voter and I will vote for NDA just because of their decisiveness and ability to deliver what they promise.,1
"If Rahul Gandhi was not that important, Modi and BJP would not have laughed at him and would not have made fun of him. He is not only important. He is the most important one.",1
"India voted last two times for a face and has got the highest unemployment in 45 yrs, 80 cr ppl on rations, prices up and every health indicator down.. the list goes on. So voting for a face is a bad idea. Vote for the party that delivers growth, jobs and better economy. Not a party that works for its crony caoitalist friends but for the nation. Not for party that wants to change the constitution but one that wants to protect it.",1
"Rahul Gandhi has definitely transformed his personality after Bharat jodo yatra,, Hope he will get an opportunity to prove himself this time.. or leaders like Sachin pilot and Shashi Tharoor are also not bad option..",1
The party which is not improving on the basis of its own party will improve the country. No vote to family-run party.,1
"Mr mohak, never find mistakes in weak people even you should ignore the mistakes but always ask questions to the in power govt.",0
Thanks Bhai for showing the truth,1
"Rahul Gandhi is the most Clean and Honest Politician I've seen so far... He's the only Politicians who's going on ground understanding and raising people's problem, also talks on national problems, his image has been Distorted, He's been made a joke for long time due to his Mistakes, But if You'll see every big Politician makes such mistakes, Yes! He's been an immature person in past, but now it's all been changed, Only if people Watch his complete speeches and compare it to other, They'll understand who's the real ""Pappu""",1
"Why wouldn't Rahul Gandhi ji become the Main Person. He is working very hard and can be seen. He is targeted the most by the BJP, as he is the main person who is attacked maximum by BJP. People see him as the Leader, who is Courageous and not scared to speak the truth. With the EVM, who trusts what can happen.
 BJP, too has made a lot of promises and not fulfilled but people don't have the courage to question them.",1
I Love It No Party Support And Unbised Video,1
"Make a video on the statement ""If MPs are not from same party which is in power in state ,then MPs can not use their 5 crore funds for development or for any other work""",0
"Atleast BJP is not confused, they do what they say (it doesn't matter it is good or bad, cuz it's may good for some and bad for others but they are straight forward about their goals), they are not in dilemma. I can't vote to a leader and a party which is in dilemma.",1
Thanks for showing reality of Congress to your viewers respect brother,1
Ã¢â‚¬â€¹Ã‚Â @technostars7981Ã‚Â exactly!!! Many cheeses failed but at least they tried,0
Ã‚Â @debiagunte9466Ã‚Â 16 years of modi government? Are you serious bro?,0
Ã¢â‚¬â€¹Ã‚Â @debiagunte9466Ã‚Â that's not correct. Manufacturing has remained largely constant in growth and FDI is far higher than UPA's time only in percentage term it has gotten lower because our economy has grown considerably.,1
"Every right wing party lost election because of inflation, unemployment ,decline in salary become election issues the right winger ,trump , Erdogan, bolsenaro lost and feku will lose 2024 you all gonna cry modibhakt if your dad not win",1
"Rahul Gandhi is the star of BJP, he is not loved much.",0
Funny important people are like jokers.,1
"Whenever Rahul speaks, BJP leaders come together to attack him by teasing him or countering him. The only opposition sound that comes louder other than from some social media influencers, is only from Rahul Gandhi.",1
You explained it really well. We need more jobs not reservations.,1
"BJP doesn't pray for Modi's long life and good health.
 
 They pray for Rahul Gandhi's long life and good health.",1
Yes you said it right,1
"Brother, what new food is available in the market?",1
Rahul Gandhi is the 2nd most important member of BJP.,1
